Unnamed: 0,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
24,BANKINDIA,BANKINDIA,1214721,144.6,BANKINDIA25MAYFUT,14634242,145.79,145.64,145.94,BANKINDIA25JUNFUT,14548994,146.98,146.83,147.13,BANKINDIA25JULFUT,13633794,148.17,148.02,148.32,144.46,144.74
25,BEL,BEL,98049,408.5,BEL25MAYFUT,14634498,411.86,411.45,412.27,BEL25JUNFUT,14549250,415.22,414.8,415.64,BEL25JULFUT,13634050,418.57,418.15,418.99,408.09,408.91
26,BHARATFORG,BHARATFORG,108033,2145.0,BHARATFORG25MAYFUT,14634754,2162.63,2160.47,2164.79,BHARATFORG25JUNFUT,14549506,2180.26,2178.08,2182.44,BHARATFORG25JULFUT,13634306,2197.89,2195.69,2200.09,2142.86,2147.14
27,BHARTIARTL,BHARTIARTL,2714625,1849.9,BHARTIARTL25MAYFUT,14635010,1865.1,1863.23,1866.97,BHARTIARTL25JUNFUT,14549762,1880.31,1878.43,1882.19,BHARTIARTL25JULFUT,13634562,1895.51,1893.61,1897.41,1848.05,1851.75
28,BHEL,BHEL,112129,402.05,BHEL25MAYFUT,14635266,405.35,404.94,405.76,BHEL25JUNFUT,14550530,408.66,408.25,409.07,BHEL25JULFUT,13634818,411.96,411.55,412.37,401.65,402.45
29,BIOCON,BIOCON,2911489,416.0,BIOCON25MAYFUT,14635522,419.42,419.0,419.84,BIOCON25JUNFUT,14550786,422.84,422.42,423.26,BIOCON25JULFUT,13635074,426.26,425.83,426.69,415.58,416.42
30,BOSCHLTD,BOSCHLTD,558337,40600.0,BOSCHLTD25MAYFUT,14635778,40933.7,40892.77,40974.63,BOSCHLTD25JUNFUT,14552066,41267.4,41226.13,41308.67,BOSCHLTD25JULFUT,13635330,41601.1,41559.5,41642.7,40559.4,40640.6
31,BPCL,BPCL,134657,309.9,BPCL25MAYFUT,14636034,312.45,312.14,312.76,BPCL25JUNFUT,14552322,314.99,314.68,315.3,BPCL25JULFUT,13635586,317.54,317.22,317.86,309.59,310.21
32,BRITANNIA,BRITANNIA,140033,5235.0,BRITANNIA25MAYFUT,14636290,5278.03,5272.75,5283.31,BRITANNIA25JUNFUT,14552578,5321.05,5315.73,5326.37,BRITANNIA25JULFUT,13635842,5364.08,5358.72,5369.44,5229.77,5240.23
33,BSE,BSE,5013761,3875.0,BSE25MAYFUT,14636546,3906.85,3902.94,3910.76,BSE25JUNFUT,14552834,3938.7,3934.76,3942.64,BSE25JULFUT,13636610,3970.55,3966.58,3974.52,3871.12,3878.87
34,CANBK,CANBK,2763265,129.27,CANBK25MAYFUT,14637314,130.33,130.2,130.46,CANBK25JUNFUT,14553602,131.39,131.26,131.52,CANBK25JULFUT,13637890,132.46,132.33,132.59,129.14,129.4
35,CGPOWER,CGPOWER,194561,941.9,CGPOWER25MAYFUT,14638082,949.64,948.69,950.59,CGPOWER25JUNFUT,14554370,957.38,956.42,958.34,CGPOWER25JULFUT,13638658,965.12,964.15,966.09,940.96,942.84
36,CHOLAFIN,CHOLAFIN,175361,1800.0,CHOLAFIN25MAYFUT,14638594,1814.79,1812.98,1816.6,CHOLAFIN25JUNFUT,14555394,1829.59,1827.76,1831.42,CHOLAFIN25JULFUT,13639170,1844.38,1842.54,1846.22,1798.2,1801.8
37,CIPLA,CIPLA,177665,1439.2,CIPLA25MAYFUT,14638850,1451.03,1449.58,1452.48,CIPLA25JUNFUT,14555650,1462.86,1461.4,1464.32,CIPLA25JULFUT,13639426,1474.69,1473.22,1476.16,1437.76,1440.64
38,COALINDIA,COALINDIA,5215745,435.65,COALINDIA25MAYFUT,14639106,439.23,438.79,439.67,COALINDIA25JUNFUT,14555906,442.81,442.37,443.25,COALINDIA25JULFUT,13639682,446.39,445.94,446.84,435.21,436.09
39,COFORGE,COFORGE,2955009,1492.4,COFORGE25MAYFUT,14639362,1504.67,1503.17,1506.17,COFORGE25JUNFUT,14556162,1516.93,1515.41,1518.45,COFORGE25JULFUT,13639938,1529.2,1527.67,1530.73,1490.91,1493.89
40,COLPAL,COLPAL,3876097,1990.1,COLPAL25MAYFUT,14639618,2006.46,2004.45,2008.47,COLPAL25JUNFUT,14556418,2022.81,2020.79,2024.83,COLPAL25JULFUT,13640706,2039.17,2037.13,2041.21,1988.11,1992.09
41,CONCOR,CONCOR,1215745,469.3,CONCOR25MAYFUT,14639874,473.16,472.69,473.63,CONCOR25JUNFUT,14556674,477.01,476.53,477.49,CONCOR25JULFUT,13641986,480.87,480.39,481.35,468.83,469.77
42,CUMMINSIND,CUMMINSIND,486657,5650.0,CUMMINSIND25MAYFUT,14640386,5696.44,5690.74,5702.14,CUMMINSIND25JUNFUT,14557186,5742.88,5737.14,5748.62,CUMMINSIND25JULFUT,13642498,5789.32,5783.53,5795.11,5644.35,5655.65
43,DABUR,DABUR,197633,423.55,DABUR25MAYFUT,14640898,427.03,426.6,427.46,DABUR25JUNFUT,14566402,430.51,430.08,430.94,DABUR25JULFUT,13643010,433.99,433.56,434.42,423.13,423.97
44,DIVISLAB,DIVISLAB,2800641,6700.0,DIVISLAB25MAYFUT,14641922,6755.07,6748.31,6761.83,DIVISLAB25JUNFUT,14567682,6810.14,6803.33,6816.95,DIVISLAB25JULFUT,13643778,6865.21,6858.34,6872.08,6693.3,6706.7
45,DIXON,DIXON,5552641,12030.0,DIXON25MAYFUT,14642178,12128.88,12116.75,12141.01,DIXON25JUNFUT,14567938,12227.75,12215.52,12239.98,DIXON25JULFUT,13644034,12326.63,12314.3,12338.96,12017.97,12042.03
46,DLF,DLF,3771393,622.0,DLF25MAYFUT,14642434,627.11,626.48,627.74,DLF25JUNFUT,14568194,632.22,631.59,632.85,DLF25JULFUT,13644290,637.34,636.7,637.98,621.38,622.62
47,DMART,DMART,5097729,4299.2,DMART25MAYFUT,14642690,4334.54,4330.21,4338.87,DMART25JUNFUT,14568450,4369.87,4365.5,4374.24,DMART25JULFUT,13644546,4405.21,4400.8,4409.62,4294.9,4303.5
48,DRREDDY,DRREDDY,225537,1349.5,DRREDDY25MAYFUT,14642946,1360.59,1359.23,1361.95,DRREDDY25JUNFUT,14568706,1371.68,1370.31,1373.05,DRREDDY25JULFUT,13644802,1382.78,1381.4,1384.16,1348.15,1350.85
49,EICHERMOT,EICHERMOT,232961,7600.0,EICHERMOT25MAYFUT,14643714,7662.47,7654.81,7670.13,EICHERMOT25JUNFUT,14568962,7724.93,7717.21,7732.65,EICHERMOT25JULFUT,13645058,7787.4,7779.61,7795.19,7592.4,7607.6
50,ETERNAL,ETERNAL,1304833,255.0,ETERNAL25MAYFUT,14736386,257.1,256.84,257.36,ETERNAL25JUNFUT,14663170,259.19,258.93,259.45,ETERNAL25JULFUT,13645314,261.29,261.03,261.55,254.75,255.25
51,EXIDEIND,EXIDEIND,173057,390.0,EXIDEIND25MAYFUT,14644226,393.21,392.82,393.6,EXIDEIND25JUNFUT,14569218,396.41,396.01,396.81,EXIDEIND25JULFUT,13645570,399.62,399.22,400.02,389.61,390.39
52,FEDERALBNK,FEDERALBNK,261889,323.4,FEDERALBNK25MAYFUT,14644482,326.06,325.73,326.39,FEDERALBNK25JUNFUT,14571010,328.72,328.39,329.05,FEDERALBNK25JULFUT,13645826,331.37,331.04,331.7,323.08,323.72
53,GAIL,GAIL,1207553,172.91,GAIL25MAYFUT,14645250,174.33,174.16,174.5,GAIL25JUNFUT,14571266,175.75,175.57,175.93,GAIL25JULFUT,13646082,177.17,176.99,177.35,172.74,173.08
54,GLENMARK,GLENMARK,1895937,2150.0,GLENMARK25MAYFUT,14645506,2167.67,2165.5,2169.84,GLENMARK25JUNFUT,14573058,2185.34,2183.15,2187.53,GLENMARK25JULFUT,13646338,2203.01,2200.81,2205.21,2147.85,2152.15
55,GMRAIRPORT,GMRAIRPORT,3463169,108.53,GMRAIRPORT25MAYFUT,14645762,109.42,109.31,109.53,GMRAIRPORT25JUNFUT,14573314,110.31,110.2,110.42,GMRAIRPORT25JULFUT,13646594,111.21,111.1,111.32,108.42,108.64
56,GODREJCP,GODREJCP,2585345,1036.2,GODREJCP25MAYFUT,14646018,1044.72,1043.68,1045.76,GODREJCP25JUNFUT,14573570,1053.23,1052.18,1054.28,GODREJCP25JULFUT,13646850,1061.75,1060.69,1062.81,1035.16,1037.24
57,GODREJPROP,GODREJPROP,4576001,1850.1,GODREJPROP25MAYFUT,14646786,1865.31,1863.44,1867.18,GODREJPROP25JUNFUT,14573826,1880.51,1878.63,1882.39,GODREJPROP25JULFUT,13647106,1895.72,1893.82,1897.62,1848.25,1851.95
58,GRASIM,GRASIM,315393,3129.9,GRASIM25MAYFUT,14647298,3155.63,3152.47,3158.79,GRASIM25JUNFUT,14574338,3181.35,3178.17,3184.53,GRASIM25JULFUT,13647618,3207.08,3203.87,3210.29,3126.77,3133.03
59,HAL,HAL,589569,4364.0,HAL25MAYFUT,14647554,4399.87,4395.47,4404.27,HAL25JUNFUT,14574594,4435.74,4431.3,4440.18,HAL25JULFUT,13647874,4471.61,4467.14,4476.08,4359.64,4368.36
60,HAVELLS,HAVELLS,2513665,1178.8,HAVELLS25MAYFUT,14647810,1188.49,1187.3,1189.68,HAVELLS25JUNFUT,14574850,1198.18,1196.98,1199.38,HAVELLS25JULFUT,13648130,1207.87,1206.66,1209.08,1177.62,1179.98
61,HCLTECH,HCLTECH,1850625,1100.5,HCLTECH25MAYFUT,14648066,1109.55,1108.44,1110.66,HCLTECH25JUNFUT,14576642,1118.59,1117.47,1119.71,HCLTECH25JULFUT,13648386,1127.64,1126.51,1128.77,1099.4,1101.6
62,HDFCAMC,HDFCAMC,1086465,2653.0,HDFCAMC25MAYFUT,14648322,2674.81,2672.14,2677.48,HDFCAMC25JUNFUT,14576898,2696.61,2693.91,2699.31,HDFCAMC25JULFUT,13648642,2718.42,2715.7,2721.14,2650.35,2655.65
63,HDFCBANK,HDFCBANK,341249,796.0,HDFCBANK25MAYFUT,14648578,802.54,801.74,803.34,HDFCBANK25JUNFUT,14578178,809.08,808.27,809.89,HDFCBANK25JULFUT,13648898,815.63,814.81,816.45,795.2,796.8
64,HDFCLIFE,HDFCLIFE,119553,584.8,HDFCLIFE25MAYFUT,14650370,589.61,589.02,590.2,HDFCLIFE25JUNFUT,14578434,594.41,593.82,595.0,HDFCLIFE25JULFUT,13649154,599.22,598.62,599.82,584.22,585.38
65,HEROMOTOCO,HEROMOTOCO,345089,4908.7,HEROMOTOCO25MAYFUT,14650626,4949.05,4944.1,4954.0,HEROMOTOCO25JUNFUT,14579714,4989.39,4984.4,4994.38,HEROMOTOCO25JULFUT,13649410,5029.74,5024.71,5034.77,4903.79,4913.61
66,HINDALCO,HINDALCO,348929,952.0,HINDALCO25MAYFUT,14651138,959.82,958.86,960.78,HINDALCO25JUNFUT,14580226,967.65,966.68,968.62,HINDALCO25JULFUT,13650178,975.47,974.49,976.45,951.05,952.95
67,HINDPETRO,HINDPETRO,359937,409.0,HINDPETRO25MAYFUT,14652162,412.36,411.95,412.77,HINDPETRO25JUNFUT,14580738,415.72,415.3,416.14,HINDPETRO25JULFUT,13650690,419.08,418.66,419.5,408.59,409.41
68,HINDUNILVR,HINDUNILVR,356865,2177.0,HINDUNILVR25MAYFUT,14652418,2194.89,2192.7,2197.08,HINDUNILVR25JUNFUT,14580994,2212.79,2210.58,2215.0,HINDUNILVR25JULFUT,13650946,2230.68,2228.45,2232.91,2174.82,2179.18
69,HINDZINC,HINDZINC,364545,518.85,HINDZINC25MAYFUT,14582018,523.11,522.59,523.63,HINDZINC25JUNFUT,14583298,527.38,526.85,527.91,HINDZINC25JULFUT,13651202,531.64,531.11,532.17,518.33,519.37
70,HUDCO,HUDCO,5331201,207.99,HUDCO25MAYFUT,14652674,209.7,209.49,209.91,HUDCO25JUNFUT,14583554,211.41,211.2,211.62,HUDCO25JULFUT,13651458,213.12,212.91,213.33,207.78,208.2
71,ICICIBANK,ICICIBANK,1270529,1387.0,ICICIBANK25MAYFUT,14653442,1398.4,1397.0,1399.8,ICICIBANK25JUNFUT,14583810,1409.8,1408.39,1411.21,ICICIBANK25JULFUT,13651714,1421.2,1419.78,1422.62,1385.61,1388.39
72,ICICIGI,ICICIGI,5573121,1819.9,ICICIGI25MAYFUT,14653698,1834.86,1833.03,1836.69,ICICIGI25JUNFUT,14584066,1849.82,1847.97,1851.67,ICICIGI25JULFUT,13651970,1864.77,1862.91,1866.63,1818.08,1821.72
73,ICICIPRULI,ICICIPRULI,4774913,491.1,ICICIPRULI25MAYFUT,14653954,495.14,494.64,495.64,ICICIPRULI25JUNFUT,14584322,499.17,498.67,499.67,ICICIPRULI25JULFUT,13652226,503.21,502.71,503.71,490.61,491.59
74,IDEA,IDEA,3677697,14.05,IDEA25MAYFUT,14654210,14.17,14.16,14.18,IDEA25JUNFUT,14584578,14.28,14.27,14.29,IDEA25JULFUT,13652482,14.4,14.39,14.41,14.04,14.06
75,IDFCFIRSTB,IDFCFIRSTB,2863105,79.39,IDFCFIRSTB25MAYFUT,14654466,80.04,79.96,80.12,IDFCFIRSTB25JUNFUT,14584834,80.7,80.62,80.78,IDFCFIRSTB25JULFUT,13653506,81.35,81.27,81.43,79.31,79.47
76,IGL,IGL,2883073,170.18,IGL25MAYFUT,14660354,171.58,171.41,171.75,IGL25JUNFUT,14588418,172.98,172.81,173.15,IGL25JULFUT,13654018,174.38,174.21,174.55,170.01,170.35
77,INDHOTEL,INDHOTEL,387073,722.0,INDHOTEL25MAYFUT,14661378,727.93,727.2,728.66,INDHOTEL25JUNFUT,14588930,733.87,733.14,734.6,INDHOTEL25JULFUT,13654530,739.8,739.06,740.54,721.28,722.72
78,INDIANB,INDIANB,3663105,835.0,INDIANB25MAYFUT,14661634,841.86,841.02,842.7,INDIANB25JUNFUT,14589186,848.73,847.88,849.58,INDIANB25JULFUT,13654786,855.59,854.73,856.45,834.16,835.83
79,INDIGO,INDIGO,2865921,5462.0,INDIGO25MAYFUT,14663426,5506.89,5501.38,5512.4,INDIGO25JUNFUT,14589442,5551.79,5546.24,5557.34,INDIGO25JULFUT,13655042,5596.68,5591.08,5602.28,5456.54,5467.46
80,INDUSINDBK,INDUSINDBK,1346049,917.4,INDUSINDBK25MAYFUT,14663682,924.94,924.02,925.86,INDUSINDBK25JUNFUT,14589698,932.48,931.55,933.41,INDUSINDBK25JULFUT,13655298,940.02,939.08,940.96,916.48,918.32
81,INDUSTOWER,INDUSTOWER,7458561,393.95,INDUSTOWER25MAYFUT,14663938,397.19,396.79,397.59,INDUSTOWER25JUNFUT,14590466,400.43,400.03,400.83,INDUSTOWER25JULFUT,13655554,403.66,403.26,404.06,393.56,394.34
82,INFY,INFY,408065,1042.9,INFY25MAYFUT,14664194,1051.47,1050.42,1052.52,INFY25JUNFUT,14590722,1060.04,1058.98,1061.1,INFY25JULFUT,13655810,1068.62,1067.55,1069.69,1041.86,1043.94
83,IOC,IOC,415745,143.94,IOC25MAYFUT,14664962,145.12,144.97,145.27,IOC25JUNFUT,14592770,146.31,146.16,146.46,IOC25JULFUT,13656322,147.49,147.34,147.64,143.8,144.08
84,IRB,IRB,3920129,21.14,IRB25MAYFUT,14665218,21.31,21.29,21.33,IRB25JUNFUT,14593026,21.49,21.47,21.51,IRB25JULFUT,13656578,21.66,21.64,21.68,21.12,21.16
85,IRCTC,IRCTC,3484417,514.0,IRCTC25MAYFUT,14678018,518.22,517.7,518.74,IRCTC25JUNFUT,14593282,522.45,521.93,522.97,IRCTC25JULFUT,13656834,526.67,526.14,527.2,513.49,514.51
86,IREDA,IREDA,5186817,127.01,IREDA25MAYFUT,14679810,128.05,127.92,128.18,IREDA25JUNFUT,14594562,129.1,128.97,129.23,IREDA25JULFUT,13657090,130.14,130.01,130.27,126.88,127.14
87,IRFC,IRFC,519425,91.73,IRFC25MAYFUT,14681602,92.48,92.39,92.57,IRFC25JUNFUT,14594818,93.24,93.15,93.33,IRFC25JULFUT,13657858,93.99,93.9,94.08,91.64,91.82
88,ITC,ITC,424961,290.0,ITC25MAYFUT,14681858,292.38,292.09,292.67,ITC25JUNFUT,14595074,294.77,294.48,295.06,ITC25JULFUT,13658114,297.15,296.85,297.45,289.71,290.29
89,JINDALSTEL,JINDALSTEL,1723649,1061.0,JINDALSTEL25MAYFUT,14683138,1069.72,1068.65,1070.79,JINDALSTEL25JUNFUT,14595330,1078.44,1077.36,1079.52,JINDALSTEL25JULFUT,13658370,1087.16,1086.07,1088.25,1059.94,1062.06
90,JIOFIN,JIOFIN,4644609,239.0,JIOFIN25MAYFUT,14683394,240.96,240.72,241.2,JIOFIN25JUNFUT,14597122,242.93,242.69,243.17,JIOFIN25JULFUT,13658626,244.89,244.65,245.13,238.76,239.24
91,JSWENERGY,JSWENERGY,4574465,573.2,JSWENERGY25MAYFUT,14683906,577.91,577.33,578.49,JSWENERGY25JUNFUT,14598146,582.62,582.04,583.2,JSWENERGY25JULFUT,13659650,587.33,586.74,587.92,572.63,573.77
92,JSWSTEEL,JSWSTEEL,3001089,1231.3,JSWSTEEL25MAYFUT,14685186,1241.42,1240.18,1242.66,JSWSTEEL25JUNFUT,14598402,1251.54,1250.29,1252.79,JSWSTEEL25JULFUT,13659906,1261.66,1260.4,1262.92,1230.07,1232.53
93,JUBLFOOD,JUBLFOOD,4632577,423.8,JUBLFOOD25MAYFUT,14685442,427.28,426.85,427.71,JUBLFOOD25JUNFUT,14598658,430.77,430.34,431.2,JUBLFOOD25JULFUT,13661698,434.25,433.82,434.68,423.38,424.22
94,KALYANKJIL,KALYANKJIL,756481,376.25,KALYANKJIL25MAYFUT,14687746,379.34,378.96,379.72,KALYANKJIL25JUNFUT,14598914,382.43,382.05,382.81,KALYANKJIL25JULFUT,13661954,385.53,385.14,385.92,375.87,376.63
95,KOTAKBANK,KOTAKBANK,492033,409.75,KOTAKBANK25MAYFUT,14688258,413.12,412.71,413.53,KOTAKBANK25JUNFUT,14600450,416.49,416.07,416.91,KOTAKBANK25JULFUT,13662466,419.85,419.43,420.27,409.34,410.16
96,KPITTECH,KPITTECH,2478849,738.4,KPITTECH25MAYFUT,14688514,744.47,743.73,745.21,KPITTECH25JUNFUT,14600706,750.54,749.79,751.29,KPITTECH25JULFUT,13662722,756.61,755.85,757.37,737.66,739.14
97,LICHSGFIN,LICHSGFIN,511233,550.7,LICHSGFIN25MAYFUT,14690562,555.23,554.67,555.79,LICHSGFIN25JUNFUT,14601730,559.75,559.19,560.31,LICHSGFIN25JULFUT,13663234,564.28,563.72,564.84,550.15,551.25
98,LICI,LICI,2426881,423.25,LICI25MAYFUT,14692354,426.73,426.3,427.16,LICI25JUNFUT,14601986,430.21,429.78,430.64,LICI25JULFUT,13663490,433.69,433.26,434.12,422.83,423.67
99,LODHA,LODHA,824321,949.9,LODHA25MAYFUT,14692610,957.71,956.75,958.67,LODHA25JUNFUT,14602754,965.51,964.54,966.48,LODHA25JULFUT,13663746,973.32,972.35,974.29,948.95,950.85
100,LT,LT,2939649,4202.1,LT25MAYFUT,14700546,4236.64,4232.4,4240.88,LT25JUNFUT,14603010,4271.18,4266.91,4275.45,LT25JULFUT,13664002,4305.71,4301.4,4310.02,4197.9,4206.3
101,LTF,LTF,6386689,298.7,LTF25MAYFUT,14700802,301.16,300.86,301.46,LTF25JUNFUT,14604290,303.61,303.31,303.91,LTF25JULFUT,13664258,306.07,305.76,306.38,298.4,299.0
102,LTIM,LTIM,4561409,4480.0,LTIM25MAYFUT,14701058,4504.0,0.0,0.0,LTIM25JUNFUT,14604546,4509.5,0.0,0.0,LTIM25JULFUT,13664514,4574.9,0.0,0.0,0.0,0.0
103,LUPIN,LUPIN,2672641,2348.5,LUPIN25MAYFUT,14701314,2367.8,2365.43,2370.17,LUPIN25JUNFUT,14604802,2387.11,2384.72,2389.5,LUPIN25JULFUT,13664770,2406.41,2404.0,2408.82,2346.15,2350.85
104,M&M,M&M,519937,3185.3,M&M25MAYFUT,14704130,3211.48,3208.27,3214.69,M&M25JUNFUT,14605058,3237.66,3234.42,3240.9,M&M25JULFUT,13665026,3263.84,3260.58,3267.1,3182.11,3188.49
105,M&MFIN,M&MFIN,3400961,330.05,M&MFIN25MAYFUT,14704386,332.76,332.43,333.09,M&MFIN25JUNFUT,14605314,335.48,335.14,335.82,M&MFIN25JULFUT,13665282,338.19,337.85,338.53,329.72,330.38
106,MARICO,MARICO,1041153,826.5,MARICO25MAYFUT,14704898,833.29,832.46,834.12,MARICO25JUNFUT,14605826,840.09,839.25,840.93,MARICO25JULFUT,13665794,846.88,846.03,847.73,825.67,827.33
